city,area,name,address,rating,total_ratings,maps_link,category
Chakradharpur,opposite Gannayak medical,Apollo Diagnostics - Blood Tests - Home Collection & Full Body Checkups Chakradharpur,"opposite Gannayak medical, Thathera Mohalla, Chakradharpur, Jharkhand 833102, India",4.7,65,https://www.google.com/maps/place/?q=place_id:ChIJ18m2vZqD9TkRK3ZN0C0Lj0c,pharmacy
Chakradharpur,Ground Flr,Apollo Pharmacy Harmu,"Ground Flr, VIP, Bypass Rd, opp. SBI Bank, Harmu Housing Colony, Ranchi, Jharkhand 834002, India",3.8,45,https://www.google.com/maps/place/?q=place_id:ChIJQbJvzqZ2HToRPP_Adz4hZws,pharmacy
Chakradharpur,Ground Floor,Apollo Pharmacy Sakchi Market,"Ground Floor, 31, New Kalimati Rd, Sakchi, Jamshedpur, Jharkhand 831007, India",3,10,https://www.google.com/maps/place/?q=place_id:ChIJA696Durj9TkRoqO18-j6c4k,pharmacy
Chakradharpur,City medical,City Medical,"City medical,bank of baroda building, Main road, Chakradharpur, Jharkhand 833102, India",4.4,5,https://www.google.com/maps/place/?q=place_id:ChIJw0VFde-D9TkRibgX4CNhkiM,pharmacy
Chakradharpur,Ground Floor,Apollo Pharmacy Bistupur,"Ground Floor, Yashkamal Cmplx, Bistupur Main Rd, opp. Hotel Natraj, Bistupur Market, Bistupur, Jamshedpur, Jharkhand 831001, India",4.7,13,https://www.google.com/maps/place/?q=place_id:ChIJDQnu13Dj9TkR4FrieMvOXPg,pharmacy
Chakradharpur,No. 5,Apollo Pharmacy Ashiyana More Adityapur,"No. 5, Service Rd, near HDFC Bank, LIC Colony, Adityapur, Jamshedpur, Jharkhand 832109, India",3.4,12,https://www.google.com/maps/place/?q=place_id:ChIJTbxeG9Xl9TkRDody1BgbPR8,pharmacy
Chakradharpur,Ground Flr,Apollo Pharmacy Jugsalai,"Ground Flr, Station Rd, near Hotel Ashoka, Kumar Chowk, Jugsalai, Jamshedpur, Jharkhand 831002, India",3.6,11,https://www.google.com/maps/place/?q=place_id:ChIJUSY6uNnj9TkRpMoywMnUc6w,pharmacy
Chakradharpur,Opp SBI Bank,Apollo Pharmacy,"Opp SBI Bank, 9842+WM4, Harmu Rd, Harmu Housing Colony, Ranchi, Jharkhand 834002, India",3.8,20,https://www.google.com/maps/place/?q=place_id:ChIJD2QlSVjg9DkR2IUx9IZrwjw,pharmacy
Chakradharpur,Ground Flr,Apollo Pharmacy Mango,"Ground Flr, Purulia Rd, Hume Pipe Area, Ramkrishna Colony, Mango, Jamshedpur, Jharkhand 831012, India",3.7,13,https://www.google.com/maps/place/?q=place_id:ChIJ5ee70snj9TkRJiO_frwbQbs,pharmacy
Chakradharpur,Shop No. 120,Apollo Pharmacy Tata Sponge- Bileipada,"Shop No. 120, Dispensary Complex, Plot No. 248/ 1094 Mouza - Bileipada, P.O. - Baneikala, Joda, Belaipada, Odisha 758038, India",4.9,7,https://www.google.com/maps/place/?q=place_id:ChIJNdsOy2qxHzoRJuBqWc4MtIk,pharmacy
