city,area,name,address,rating,total_ratings,maps_link,category
Chaibasa,GRH5+262,Dps Public School,"GRH5+262, Gitilpi, Jharkhand 833201, India",,,https://www.google.com/maps/place/?q=place_id:ChIJb38fXKgnHjoREIJx9YWFA2c,schools
Chaibasa,GRH5+262 Dps Public School,DDUKK,"GRH5+262 Dps Public School, Chaibasa, Jharkhand 833201, India",4.5,2,https://www.google.com/maps/place/?q=place_id:ChIJI44RDU4nHjoRobafQPgBaLo,schools
Chaibasa,near Shiv Mandir,Kendriya Vidyalaya,"near Shiv Mandir, Railway East Colony, South Eastern Railway Colony, Chakradharpur, Jharkhand 833102, India",,,https://www.google.com/maps/place/?q=place_id:ChIJo6gcRUqC9TkRbOLDkvypui8,schools
Dumka,77G2+M4H,"DAV public school, pre nursery school","77G2+M4H, Dumka, Jharkhand 814101, India",2,2,https://www.google.com/maps/place/?q=place_id:ChIJHX4F0AS38DkRz8QXckQaZo0,schools
Dumka,7794+RWJ,Delhi Public School(DPS),"7794+RWJ, Dumka, Jharkhand 814101, India",,,https://www.google.com/maps/place/?q=place_id:ChIJmwVWNqm38DkRVz2c_hIOE-s,schools
Dumka,Dhadkia,Kendriya Vidyalaya Dumka,"Dhadkia, Jharkhand 814119, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ01yl-w238DkRhzd9mslPR2Q,schools
Chatra,6V94+R8H,"DAV PUBLIC SCHOOL,","6V94+R8H, GAYA ROAD, Bamne, Chatra, Jharkhand 825401, India",,,https://www.google.com/maps/place/?q=place_id:ChIJhxihAsytjDkR6UGHzwesoJE,schools
Chatra,Near Tapej,Delhi Public School Chatra,"Near Tapej , Turaag, 6W85+8MR, Distt, Tunrag, Jharkhand 825401, India",3.8,35,https://www.google.com/maps/place/?q=place_id:ChIJZ7djYLGtjDkRfCmjVwecXXk,schools
Chatra,6W66+69J,DPS School Chatra,"6W66+69J, Tunrag, Jharkhand 825401, India",,,https://www.google.com/maps/place/?q=place_id:ChIJqf91HcitjDkRKSa-ooumOvA,schools
Chatra,Kendu post jabra,Kendriya Vidyalaya Simaria Chatra,"Kendu post jabra, ps, Simaria Khurd, Banhe, Jharkhand 825103, India",,,https://www.google.com/maps/place/?q=place_id:ChIJZQbafamqjDkROc7DsUYcjZs,schools
Koderma,CG5P+Q4G,PVSS DAV Public School,"CG5P+Q4G, Jhumri Telaiya, Koderma, Jharkhand 825409, India",,,https://www.google.com/maps/place/?q=place_id:ChIJSwCrSr908zkRvlyq81K0rAE,schools
Koderma,Vishram Bagh Rajgarhiya Road,Delhi Public School,"Vishram Bagh Rajgarhiya Road, CGJJ+JCF, Jhumri Telaiya, Jharkhand 825409, India",,,https://www.google.com/maps/place/?q=place_id:ChIJHdbnrTB18zkRNW40KjepvdQ,schools
Koderma,FH9W+2CX,DPS KIDS koderma,"FH9W+2CX, Koderma - Domchanch Rd, Koderma, Jharkhand 825410, India",,,https://www.google.com/maps/place/?q=place_id:ChIJKz0Ev64K8zkRkFoqdHP9UzQ,schools
Koderma,Bypass road,Delhi Public School Koderma,"Bypass road, near Kchatriya Dharamsala, Koderma, Jharkhand 825410, India",,,https://www.google.com/maps/place/?q=place_id:ChIJg0KY5l8L8zkRWPui1JvK_kY,schools
Koderma,CGHH+PMP,Kendriya Vidyalaya Koderma,"CGHH+PMP, Pani tanki road, Jhumri Telaiya, Jharkhand 825409, India",,,https://www.google.com/maps/place/?q=place_id:ChIJr-E1bjB18zkRVS3po6s9Hqg,schools
Gumla,behind Police Line,DAV Public School Gumla,"behind Police Line, Neemtoli, Gumla, Chandali, Jharkhand 835233, India",,,https://www.google.com/maps/place/?q=place_id:ChIJc6L8WufoijkREkF68vdoirg,schools
Gumla,DSP Rd,Junior DPS,"DSP Rd, Gumla, Jharkhand 835207, India",5,28,https://www.google.com/maps/place/?q=place_id:ChIJMSj3NC3pijkR_-4Cwj7bXE4,schools
Gumla,2GMQ+XFP,Star DPS School Gumla,"2GMQ+XFP, Gokul Nagar, Gumla, Jharkhand 835207, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ7dsd97DpijkRCAh690p96eM,schools
Gumla,Training School Campus,Kendriya Vidyalaya Gumla,"Training School Campus, Karam Toli Road, Gumla, Jharkhand 835207, India",4.3,117,https://www.google.com/maps/place/?q=place_id:ChIJCflpDDDpijkRFtFw0491UBQ,schools
Sahibganj,Urjanagar,DAV Public School,"Urjanagar, Mahagama, Jharkhand 814154, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ8SXf2Mpl8DkRkyt6Vi0069E,schools
Sahibganj,Gokulpur,"D.A.V. Public School, Pakur","Gokulpur, Pakur, Jharkhand 816107, India",,,https://www.google.com/maps/place/?q=place_id:ChIJUT1QBK5p-jkRXh0tMjoSc2I,schools
